"Title","Category","Mission, Purpose, and Organization Description","Contact Information Email","Members","Status","Test ","Attachments","Social Media"
"National Student Speech-Language Hearing Association (NSSLHA)","Academic Interest, Educational/Departmental, Social","Mission statement: We, the members of the National Student Speech Language Hearing Association, are an academic organization that serves primarily speech-language pathology and audiology students but welcome all enrolled at UTD. NSSLHA is the only national student organization for pre-professionals studying communication sciences and disorders recognized by ASHA. UTD's NSSLHA chapter provides opportunities in these areas: social, academic/professional, philanthropic, service, and leadership.","deh220001@utdallas.edu","50","Active",,"0","https://www.instagram.com/nsslha.utd/"
"Office of Student Volunteerism","University Department","The Office of Student Volunteerism is committed to enriching the lives of students by educating them on and connecting them to, the needs of their campus community, and communities across the country and around the world. By directly providing students at The University of Texas at Dallas with opportunities to volunteer their time to local community service projects and partnering with campus departments, programs, faculty, and student organizations, as well as being a repository for community service resources, the Office of Student Volunteerism helps students prepare for life, work, and leadership as active, responsible citizens.


","volunteer@utdallas.edu","33","Active",,"1",
"Pre-Dental Association","Academic Interest, Social, Special Interest","The Pre-Dental Association at the University of Texas at Dallas is a student-run organization that strives to provide fellow UTD students with valuable information and resources about the dental field. Through general meetings, symposiums, guest speakers, dental school visits, and much more, our members can gain the knowledge they need to successfully apply to dental school. The Pre-Dental Association also takes part in campus-wide events that allow it’s members to raise funds for various community dental care funds and create awareness for the importance of oral health for all. All of these components come together to create a very unique opportunity for UTD students to be part of an organization that gives back to its members and to the community.","joel.george2@utdallas.edu","208","Active",,"0","https://www.instagram.com/utdpda/?hl=en"
"Pre-Occupational Therapy & Pre-Physical Therapy Association UTD","Academic Interest, Educational/Departmental","To address the academic and pre-professional aspects of preparation for Pre-OT and Pre-PT students during their undergraduate training at UTD. To facilitate a community of Occupational and/or Physical Therapy interested students. Overall, we are dedicated to preparing students for their future careers and for graduate school through volunteering, fundraising, application information, shadowing and tech job connections, guest speakers, and leadership opportunities.","josh.mathew@utdallas.edu","23","Active",,"0","https://www.instagram.com/utdpreotpt/"
"Pre-Optometry Professional Society","Academic Interests","The Pre-optometry professional society (POPS) was first introduced to UTD in 2006, and aims to inform prospective optometry students about all aspects of the field of optometry. This includes admission requirements and application processes for entry to make competitive applicants. POPS also aims to be a community leader by giving students opportunities to give back to the community, and develop their social and technical skills. Here at POPS, we also give students a chance to meet new people with the same interests in Optometry. From conference trips, fundraisers, and volunteering opportunities, we look forward to seeing you all!
Volunteering is a big part of our organization. At POPS, we love to volunteer at the Saturday Low Vision Clinic in Dallas. Not only do we give students a glimpse into the world of Optometry, but we also get to help our community. We also volunteer with Prevent Blindness in Texas, the Hot Chocolate Run in Dallas, and more! Volunteering has given us the opportunity to grow stronger as an organization and empower our community.
Some of the greatest UTD POPS traditions are the trips we take during the second semester. There are fun social trips like surviving escape rooms, and informative trips such as touring Optometry graduate schools like the University of Houston. These outings really solidify the bonds of our members and aid us in our future as an Optometrist. Whether you are thinking of becoming an optometrist, definitive about your optometry future, or just looking for a little fun, POPS trips are memories that you will cherish for a lifetime.
In order to keep the organization running, we bring the community together through multiple fundraisers each semester. Most of the locations are near UTD to make it easier for them to come out and show support! Fundraisers help us raise money for the trips we take part in each year, the great opportunities we provide for our members, and speakers who come and talk about Optometry!","nak200007@utdallas.edu","15","Active",,"1","https://utdpops.wixsite.com/pops"
"Radio UTD","Student Media","As the student-run radio station for the University of Texas at Dallas, Radio UTD provides both music and talk show entertainment to the campus community. Founded in 2002, Radio UTD has grown steadily thanks to help from the University, student body, and ever supportive Dallas music scene. Our music blog is comprised of student bloggers who write album reviews, feature articles, and even cover local concerts. We also have a project in collaboration with UTDTV called Pseudo Stereo, in which we record sessions with local and touring bands on the UTD campus. 
",,"36","Active",,"1",
"Society for Chronic Pain","Special Interest","Society for MS and Chronic Pain will be devoted to raising awareness about Chronic pain and Multiple Sclerosis. This organization aims to gather motivated and passionate individuals who would be willing to donate their time for the above cause. As a group, we aim to create awareness in the DFW area. We would also reach out to low socioeconomic communities in the DFW area and provide assistance based on our capabilities. Our reason for targeting low socioeconomic communities is that most of them work jobs that cause physical stress leading to underlying injuries which would cause pain. This organization will serve UT Dallas and its students by giving them opportunities to interact with people and help make a difference in their life. 


","bqs180000@utdallas.edu","10","Active",,"1",
"Student Government","Student Government","The mission of the Student Government is to ensure that UT Dallas is fully committed to serving the collective interests of the student body. In this capacity, we serve as the official student voice to UT Dallas administration, the UT System Board of Regents, and other governmental entities.





The Student Government seeks to enhance spirit, protect University traditions, and support all students and student organizations in their academic and community-directed endeavors.





For further information, including information about elections, meeting times, and past projects, please visit our website at sg.utdallas.edu.","sg@utdallas.edu","6","Active",,"1",
"Student Leadership Programs","University Department","The Student Leadership Programs offer leadership training throughout the academic year. Our goal is to create, facilitate and foster leadership learning opportunities and experiences for all students.


",,"69","Active",,"1",
"Student Organization Center","University Department, Educational/Departmental","The Student Organization Center, affectionately known as SOC, assists students in connecting to the UT Dallas community. There are over 300 registered student organizations on campus. Wherever your passions lie, you're sure to find a place to call home.

We encourage all Comets to Explore. Engage. Create.","soc@utdallas.edu","29","Active",,"1",
"The Mercury","Student Programming Board, Student Media","UTD's student-run newspaper since 1980. During the fall and spring semesters, we publish an issue every two weeks; during the summer semester, every three weeks. If you are interested in being hired as a writer/reporter, graphics artist, or photographer, please email our editor-in-chief at editor@utdmercury.com to learn more about the application process. If you would like to write an op-ed, see our website for more information. 

Feel free to reach out if you have any questions, and don't hesitate to check us out on social media or on our website. ",,"12","Active",,"1",
"Volunteer Proofreaders for Project Gutenberg","Service, Office of Student Volunteerism","Volunteer Proofreaders for Project Gutenberg was formed to provide a completely virtual volunteer opportunity and bring awareness to the vast availability of open access public domain ebooks and online sources. We work together with the 501(c)3 nonprofit ‘Project Gutenberg’ and their affiliate ‘Distributed Proofreaders’. Our organization values philanthropy, access to free information, preserving history, and increasing the knowledge and resources available for our current and future generations.

As a volunteer, you will be given a side-by-side screen of a scanned page from a copyright-free book and a program-generated text that should match the scan. Your job is simply to check for any mistakes that were made in the program’s scan, while also following certain guidelines for formatting the text. These corrections are simple and easy to do, and you can work from your personal laptop at any time. No prior experience is required, and there are no minimum or maximum hours required for membership.

To get started, click on the forms tab, watch our asynchronous orientation video, and fill out the accompanying form.

If you have further questions, please reach out to Manish Samson, manish.samson@utdallas.edu.","manish.samson@utdallas.edu","137","Active",,"1",
"Writing Without Purpose","Art and Music","Our purpose is to create an environment for individuals to hone in their writing skills and write without the stress of a deadline or judgement. We admire originality and a variety of different writing styles, so even people who do not have a history in writing can learn to enjoy it!","dsr210000@utdallas.edu","200","Active",,"0","https://www.instagram.com/utd_wwp/"
"Global Business Organization","Academic Interests, Social","Mission:
The Global Business Organization (GBO) is dedicated to providing a space for
students interested in international business, world culture, and trade affairs to connect,
interact, and network with each other through our club activities such as hands-on
workshops, case competitions, and guest speaker events.

Purpose:
GBO's purpose is to cultivate a platform where all students can expand their knowledge of international business cultures and develop the skills necessary
to thrive in a globalized world while also being able to take advantage of networking opportunities.

Organization Description:
GBO is open to all major undergraduate and graduate students who are interested in international trade and developing professional skills. The
organization officers will provide guidance to students in various disciplines of Global Business around cultural competence, global affairs, and business
practices.","wxw200005@utdallas.edu","30","Active",,"0","https://www.instagram.com/utdgbo/"
"Cru","Social, Religious","We exist to give every student at UTD the opportunity to know God, grow in their faith, and go impact the world with the life-changing message of the gospel. We do this by offering small groups, large groups, leadership training, discipleship, and summer mission opportunities.","mxs200067@utdallas.edu","14","Active",,"0","https://www.instagram.com/utdcru/"
"Reaching and Inspiring Student Engineers","Academic Interests","Reaching and Inspiring Student Engineers works to widen young students' engagement with science, technology, engineering, and math (STEM) by performing demonstrations with elementary and middle school students to teach about different topics in STEM.","emma.leblanc@utdallas.edu","10","Active",,"0",
"The Historical Swordfighting Guild of UT Dallas","Club Sports, Recreation","SFGUTD aims to study historical Italian longsword, and other historical forms of combat such as saber, messer, or even historical wrestling. We learn from reconstructed and translated historical combat manuals written by fencing masters from the 1400's onward. The modern martial practiced by combatants such as us is referred to as HEMA, or Historical European Martial Arts, or just Historical Fencing.","nal170130@utdallas.edu","27","Active",,"0","https://www.instagram.com/utdswordfighting/"
"Comets For Better Transit","Political, Special Interest","We are an organization of students dedicated to improving pedestrian, bike, and public transit in and around the UTD campus.","chandu.garapaty@utdallas.edu","406","Active",,"0","https://www.instagram.com/cometsforbettertransit/"
"Rangam Indian Classical Dance Team","Art and Music, Cultural","Rangam is the premier classical dance team at UT Dallas. Established in 2015, Rangam hopes to give college students a means to channel their individuality and come together to share their love for their culture. Rangam strives to keep the classical art forms alive by performing around the DFW metroplex as well.","pxe210008@utdallas.edu","13","Active",,"0","https://www.instagram.com/utdrangam/"
"Korean International Student Association of Dallas","Cultural, Social, Fraternity & Sorority Life","We ensure the preservation and growth of Korean American community at the University of Texas at Dallas by providing cultural and professional development opportunities to those with a keen interest in the Korean culture.","eric.jeon@utdallas.edu","63","Active",,"0","https://www.instagram.com/utd_kisa/"
"Magic the Gathering Club at The University of Texas at Dallas","Recreation","The members of this organization strive to foster an environment in which students can learn, teach, and play Magic: the Gathering; to uphold the principles of sportsmanship, fairplay, and mutual respect; to grow the community of new players without retracting from the enjoyment of those more experienced; and, above all, to create variable, interactive, and enjoyable games of Magic: the Gathering.","mtd190004@utdallas.edu","18","Active",,"0","https://discord.gg/rzHUYqjDdj"
"Service-dog In Training","Services, Social, Special Interest","UTD SIT is a collegiate branch of Canine Companions for Independence. Canine Companions is a national organization committed to enhancing the lives of people with disabilities by providing assistance dogs. UTD SIT offers students the opportunity to raise and train Canine Companions assistance dogs to support the national program.","Exu210002@utdallas.edu","92","Active",,"0","https://www.instagram.com/utd.sit/"
"Orthodox Christian Campus Ministries","Services, Social, Religious","OCCM anchors college students to the values and ancient faith of the Orthodox Christian Church through fellowship, prayer, service to others, and study of the faith.

Our mission statement stems from four pillars of the Orthodox Christian lifestyle: orthodoxia, orthopraxia, orthokoinonia, and orthokrisia. These are the correct belief (faith), correct acts/practice, correct community, and correct judgment and values.","khk210000@utdallas.edu","104","Active",,"0","https://www.susoccm.org/"
"The SpongeBob Club at the University of Texas at Dallas","Social","A social club where UTD students can get together and commiserate together on their college experiences, while knowing that we all have at least one thing in common: we all like SpongeBob SquarePants.","cdh160030@utdallas.edu","20","Active",,"0","https://discord.com/invite/wzRk9x8"
"The Lavender Club","Special Interest","Our club is dedicated to discussing and raising awareness on current events for queer women and nonbinary people, advocating for equity, and fundraising for LGBTQ+ charities. This club intends to foster a safe and welcoming environment for those who feel ostracized and encourage those to facilitate their voices. Finally, we strive to create close relationships and build a community for young queer women and nonbinary students at UTD.","sunny.ma@utdallas.edu","127","Active",,"0","https://www.instagram.com/thelavenderclubutd/"
"Wishmakers","[""Services"",""Special Interest""]","Our mission is to raise money to donate to the Make-a-Wish foundation to aid children who are ill. We organize and execute events where we fundraise and engage students on campus to spread awareness of the organization. ","huda.mian@utdallas.edu","30","Active",,"1",
"BAPS Campus Fellowship","Academic Interests, Cultural, Religious","Religious organization that strives to preserve Hindu ideals through individual development by instilling values, promoting spirituality, and nurturing growth.","sxp200158@utdallas.edu","18","Active",,"0",
"User Experience (UX) Club","Academic Interests","The UX Club at UT Dallas aims to increase awareness and create a community around user centered design. We strive to learn, understand and create well-designed experiences. We give you the resources to bring clients and concepts together and teach you how to blend empathy, art, and software. We teach you how to design the future.","mxv200022@utdallas.edu","19","Active",,"0","https://www.instagram.com/ux_utd/"
"Comet Marketing","Academic Interests, Services","We’re a student-run marketing organization that promotes events, awards, or any information that needs to be dispersed to the UTD student body by means of digital media. What does this mean? Basically, we’re here to help you effectively spread the message YOU want to spread.
Need to get the word out on your upcoming event? No problem. Need a creative graphic to spread on social media? We got your back. Need an informative yet artistic video made for your team? Comet Marketing has you covered. From digital graphics to videos and photography - we do it all. You want to know what the best part of this is? All our services are FREE.
Just sit back and relax. Our mission is to bring your great ideas to life. We’re here to help YOU market YOU.","zxb200006@utdallas.edu","45","Active",,"0","https://www.instagram.com/utdcometmarketing/"
"Skate Club","[""Special Interest""]","Mission/Purpose:  To introduce new skaters to skating and to allow skaters to spend time with others who share the same interest. We would like to foster an environment that motivates others to skate.
","ssg180007@utdallas.edu","25","Active",,"1",
"United Mission for Relief and Development","Services, Social","UMR mission is to bring students passionate about community service and development together. Chapters serve their local communities with events such as Project Downtown, where we donate meals to food bank and other initiatives to make them a better place to live. As well as support UMR’s international initiatives through awareness raising, youth mobilization, professional development training and community service outreach.","kajal.patel@utdallas.edu and ekn220001@utdallas.edu","18","Active",,"0","https://www.instagram.com/umrutd/"
"Period Project","Services","We envision a world where no student has to worry about how to manage their period. As an organization, we are committed to valuing all menstruating students at UT Dallas through education, advocacy, and service. Our service team hosts packing events where we pack period products and then donate them to local shelters. Our education team educates our community on issues surrounding menstruators and hosts social events. Our advocacy team lobbies for long term menstrual equity. ","mbj190001@utdallas.edu","80","Active",,"0","https://www.instagram.com/utdperiodproject/"
"Deeds Not Words","Services, Social","The mission of this organization is to galvanize the power of young #Changemakers through advocacy, organizing, policy-making, and voting, with regards to the FEMZ agenda. The FEMZ agenda is freedom from sexual assault, economic opportunity through wage equity and reproductive autonomy, maternal health and menstrual equity, all powered by generation Z.
All activities of this organization must be directed toward this purpose.","axk210245@utdallas.edu","30","Active",,"0","https://www.instagram.com/dnw_utd/"
"Alpha Epsilon Delta","Academic Interests","Alpha Epsilon Delta is the National Health Preprofessional Honor Society dedicated to the encouragement and recognition of excellence in preprofessional health scholarship, including medicine, dentistry, veterinary, and others. The Society welcomes ALL students engaged in the pursuit of a professional healthcare career. AED offers opportunities for intellectual and professional development, provides a forum for students with common interests, and extends a program of service to benefit the college/university community. Alpha Epsilon Delta is affiliated with the American Association for the Advancement of Science and is a member of the Association of College Honor Societies.","Abigail.Nguyen@utdallas.edu","237","Active",,"0","https://www.instagram.com/aedatutd/"
"Association of Fundraising Professionals","Educational/Departmental","Purpose: The Chapter is organized and shall be operated in accordance with and under the School’s Section 501(c)(3) tax exempt status and be consistent with university policy for student organizations, 
Organization Description: an educational club or group of students at The University of Texas at Dallas and which is a chapter and affiliate of the Association of Fundraising Professionals (“AFP” or the “Association”)","bkv210001@utdallas.edu","10","Active",,"0",
"Scientific Computing Club ","Academic Interests","Many incoming freshmen, sophomores, and even long-standing upperclassmen will major in a STEM subject, none the wiser to the importance of having command of one or more programming languages for scientific use. With the increasing availability of PCs, and the outstanding need to perform more rigorous and expensive calculations, knowing how to code a simple algorithm makes a proper difference in the eligibility of a job applicant. Knowing this, the Scientific Computing Club intends to (with a multi-disciplinary approach) inform interested students about methods in scientific computing, and to provide the experience of working in tandem with a computer to expand the range of a future scientist or engineer to tackle problems that are impossible with the range of pen and paper.

Modern problems in STEM will be solved for with the use of computers to illustrate the need for knowledge of these methods, and opportunities that may make use of the knowledge learned from this club (employment, research, etc.) will be provided to interested students. Students will be able to tie these methods to current courses to gain intimate experience about the benefits of computing literacy. The rudimentary goal of the Scientific Computing Club is to allow students to confidently work concurrently with computing methods to grow their confidence in future pursuits, and to become a better scientist overall.","khk210001@utdallas.edu","136","Active",,"0",
"Ahlul Bayt Student Organization","Services, Social, Religious","The Ahlul-Bayt Student Association’s mission is to cater primarily, although not exclusively, to the needs of the Shi’a students at The University of Texas at Dallas while simultaneously representing their collective voices and pursuing their ideals.","Faraz.Sarwar@UTDallas.edu","60","Active",,"0","https://www.instagram.com/absa_utd/"
"Wesley at UT Dallas","Cultural, Social, Religious","The Synergy Wesley Foundation is a diverse and affirming campus ministry that provides a supportive space for college students to build authentic relationships and community, grow in faith, discover their gifts, and develop as leaders to transform the world. We celebrate diversity, and welcome and affirm all students. We are LGBTQ-affirming and part of the UTD Rainbow Coalition. We are affiliated with the United Methodist Church, but students do not need to be Methodist (or even Christian) to join!","Glenn.Sherard@utdallas.edu","25","Active",,"0","https://www.instagram.com/synergywesley/"
"Fellowship of Christian University Students","Religious","The vision of FOCUS is to plant vibrant, intellectual, outreaching, Jesus-loving communities on every college campus in the DFW area, and to be a resource for the world, equipping and sending campus missionaries. We want to show you the love of Jesus and to build community at UTD where you can feel at home and loved!","kjm210008@utdallas.edu","200","Active",,"0","https://www.instagram.com/focusutd/"
"First Love Fellowship","Services, Social, Religious","Our mission is to encourage students to be Christians who strife for academic excellence and success in life through biblical principles. Purpose: The purpose of First Love Fellowship on UTD campus is 1. To provide an environment on campus where UTD students meet and support each other in their Christian walk through mutual fellowship. 2. To train members to become Christian and global leaders. 3. To introduce the greater love of Christ Jesus to students 4. To reach out to students of University Of Texas at Dallas (UTD), to help them to unearth their potential and God given gifts making them productive and accountable citizens in school and any subsequent community in which they find themselves. Organization Description: The FirstLove Fellowship is a religious organization , whose aim is to use all the resources we have to help students succeed both academically , spiritually and socially. We accomplish this goal through weekly christian activities such as Bible studies, prayers, musical concerts (singing and dancing), word of exhortations, outreaches, games, etc... ","axt180076@utdallas.edu","32","Active",,"0","https://www.instagram.com/firstlovedallas/"
"Dallas Musical Outreach","Art and Music","Spread music through DFW area","gxk200033@utdallas.edu","41","Active",,"0","https://www.instagram.com/dmo_utd/"
"Muslim Interscholastic Tournament","[""Religious"",""Social ""]","Mission: MIST inspires high school students to collaborate and compete, develop creative skills, and learn from professionals, while educating them about Islam and Muslims. We envision a vibrant community of creativity, knowledge, and mutual respect.

Description and Purpose: We offer students all over DFW the chance to encourage self discovery, knowledge related to Islam and/or Muslims, creativity, communication skills, critical thinking and problem solving, and interpersonal skills.

We are open to individuals of any religion, race, color, gender, sex, ethnicity, disability, sexual orientation, marital status, pregnancy, national origin, ancestry, and socio-economic background.

MIST exposes participants to aspects of Muslim customs and practices, but does not enforce religious adherence.  We encourage attitudes of respect in relation to religious or philosophical disagreement.  ","nsa200001@utdallas.edu","12","Active",,"1",
"Queer and Trans People of Color at UT Dallas","[""Cultural"",""Social ""]","Mission: To Promote the Herstory, Academic Success, Health, Civic Engagement, and Empowerment of all queer and trans people of color
Purpose/Description: To provide a safe social environment to express the varying intersectional identities that come with being a queer and/or trans person of color. We strive to promote the History, Academic Success, Health, Civic Engagement, and Empowerment of all Queer and Trans People Of Color as well as to create a space for chosen families to foster specfically for queer and/or trans students of color who may not be fully embraced in all of their identities.","scp180005@utdallas.edu","90","Active",,"1",
"Society of Physics Students at UTD","Academic Interests, Educational/Departmental","To provide information and resources about Physics and Graduate School as well as build a sense of community for those enthusiastic about physics and astronomy.","xxl200016@utdallas.edu","30","Active",,"0","https://www.instagram.com/sps_utd/"
"Filipino Students' Association (FSA)","Cultural, Social, Recreation","Our mission as the Filipino Students’ Association at The University of Texas at Dallas is to foster unity and fellowship among our members and the community, cultivate inclusion through Filipino culture, and empower students to excel in their professional fields and personal endeavors.","afb200001@utdallas.edu","654","Active",,"0","https://www.instagram.com/fsautd/"
"Chinese Student Association","Cultural, Social","We are a Chinese cultural and social club at UT Dallas that provides our members the opportunity to learn more about Chinese customs and language. We are welcoming of all people, as long as you're willing to make friends and learn about Chinese culture!","cxt210000@utdallas.edu","249","Active",,"0","https://www.instagram.com/utdcsa/"
"Baptist Student Ministry","Religious","The UTD BSM exists to develop lifelong followers of Christ.
Our mission is to encourage students to:
engage with the Gospel,
grow in Christ,
and go proclaim Him to the world.
As an organization, we offer weekly programming that invites American and international students into meaningful community and usually involves food.","kat210005@utdallas.edu","7","Active",,"0","https://www.instagram.com/bsmatutd/"
"Society for Human Resource Management UTD","Academic Interests","Our mission is to help our members develop into Human Resource Management professionals equipped for a successful career in the human resources field by promoting personal, professional, and leadership development. Our Chapter focuses on membership engagement through networking opportunities, affiliation with DallasHR, Texas SHRM, and SHRM National, and participation in community outreach events.","tle220000@utdallas.edu","27","Active",,"0","https://www.instagram.com/shrmutdallas/"
"Association of Digital Music Creators ","Art and Music","The Association of Digital Music Creators is dedicated for music producers, songwriters, and artists. We organize music competitions, beginner teaching workshops, and concerts to support and promote artists at UTD.","borna.afkhami-rohani@utdallas.edu","186","Active",,"0","https://www.instagram.com/utdmusiccreators/"
"Student Game Developer Association ","Academic Interests, Art and Music, Educational/Departmental, Social, Special Interest, Recreation","It is the primary purpose of the Student Game Developer Association of the
University of Texas at Dallas to represent and serve students, and provide a
unified voice in student dealings with individuals and agencies outside of the
Association. This includes, but is not limited to, the following:
- Serving as a forum for the presentation of student interests and desires
pertinent to game development for social, educational, and professional
advancement.
- Enhancing the intellectual life of the University by ensuring that opportunity is
available for students to expose themselves to various facets of game
development for personal, commercial, and academic purposes.
- Representing those ideals, goals, and programs that are of general student
interest to the administration and other groups within and without the University","pdl200000@utdallas.edu","150","Active",,"1","https://utdsgda.club/instagram"
"UTDuelists","Social, Special Interest, Recreation","To provide students on campus a local place to explore their interests and hobbies relating to trading card games and learn about one of the world's largest TCG's ""Yu-Gi-Oh!"" with other students in a friendly manner without needing to buy cards or drive to card shops in both casual and competitive styles of gameplay.","chm210001@utdallas.edu","25","Active",,"0","https://discord.gg/35R3ZyV"
"Hallyu Wave at UTD","Art and Music, Cultural, Social, Recreation","The purpose of Hallyu Wave UTD is to provide students with an opportunity to meet and socialize with people of similar interests, such as K-pop and K-dramas, and learn about Korean culture.","sxs190292@utdallas.edu","34","Active",,"0","https://www.instagram.com/hallyuutd/"
"Artificial Intelligence Society","Academic Interests, Special Interest","Make artificial intelligence understandable and accessible to everyone. We want to demystify AI for all.","Roshni.patel@utdallas.edu","300","Active",,"0","https://www.instagram.com/utdais/"
"Epic Movement","Religious","Epic seeks to honor, connect, lead and love others in the way of Christ as the One who restores honor. As we are all called to minister and serve, we will practice having a cultural consciousness that will be modeled after the ways in which Jesus related to all people groups. The practice of seeing the story that God has written in the lives of individuals and communities will help us to discern and participate in his active mission of restoring honor. As Epic seeks to invite people of every tribe, tongue and nation to encounter this beautiful restoring God, we will seek to honor and value the image bearer in each person and in all communities.","jcw200003@utdallas.edu","75","Active",,"0","https://www.instagram.com/utdepic/?hl=en"
"Financial Leadership Association","Academic Interests","UTD Financial Leadership Association is focused on developing students to become future business leaders. FLA prepares students to excel in their future careers through competitions, networking events, career development workshops and meetings with industry leaders.","kimberly.lam@utdallas.edu","212","Active",,"0","https://www.instagram.com/flautd/"
"Women in Cybersecurity at UTD","Academic Interests, Special Interest","Our chapter encourages women to pursue careers in the highly dynamic and expansive field of cybersecurity by offering tools, events, and networking opportunities throughout the year.

The purposes and goals of WiCyS are:
1. To support, engage, and encourage women pursuing careers in fields of cybersecurity.
2. To provide opportunities for personal and professional development while cultivating a
community of individuals with similar goals and interests.","kxt200012@utdallas.edu","34","Active",,"0","https://www.instagram.com/wicys.utd/"
